dataset,hidden_layers,lambda_reg,accuracy,weighted_f1
Credit,[8],0.01,0.8514685314685314,0.8511058357386357
Credit,[8],0.1,0.8591375291375292,0.8589207483567274
Credit,[16],0.01,0.8422377622377623,0.8420677024720377
Credit,[16],0.1,0.8544522144522144,0.854374022247106
Credit,"[16, 8]",0.01,0.8300932400932401,0.8298572495302802
Credit,"[16, 8]",0.1,0.8406993006993007,0.8405997430653855
Credit,"[24, 12]",0.01,0.836060606060606,0.8360186919235897
Credit,"[24, 12]",0.1,0.8484149184149183,0.8480642111895322
Credit,"[16, 8, 4]",0.01,0.8269230769230769,0.8270469668167195
Credit,"[16, 8, 4]",0.1,0.8483916083916085,0.8484530842924695
Credit,"[32, 16, 8]",0.01,0.8192540792540793,0.8193306299056461
Credit,"[32, 16, 8]",0.1,0.8375990675990674,0.837569531295341
Parkinsons,[8],0.01,0.861578947368421,0.8562417709961947
Parkinsons,[8],0.1,0.8613157894736843,0.856083022304683
Parkinsons,[16],0.01,0.8871052631578948,0.8854835859008258
Parkinsons,[16],0.1,0.8871052631578948,0.884518673620124
Parkinsons,"[16, 8]",0.01,0.871842105263158,0.866709482408029
Parkinsons,"[16, 8]",0.1,0.8768421052631579,0.8740552616288083
Parkinsons,"[24, 12]",0.01,0.8823684210526317,0.8765344044108094
Parkinsons,"[24, 12]",0.1,0.8873684210526316,0.8846157393538622
Parkinsons,"[16, 8, 4]",0.01,0.8913157894736841,0.8905290656107352
Parkinsons,"[16, 8, 4]",0.1,0.8865789473684209,0.8860680276212154
Parkinsons,"[32, 16, 8]",0.01,0.8971052631578947,0.8961197234161347
Parkinsons,"[32, 16, 8]",0.1,0.8971052631578947,0.8954275191150594
Rice,[8],0.01,0.9288713910761155,0.928839167641819
Rice,[8],0.1,0.927034120734908,0.9269776193076602
Rice,[16],0.01,0.9296587926509187,0.9296029681904114
Rice,[16],0.1,0.927296587926509,0.9272440327078384
Rice,"[16, 8]",0.01,0.9291338582677164,0.9291139680767657
Rice,"[16, 8]",0.1,0.9275590551181102,0.9275164206914364
Rice,"[24, 12]",0.01,0.9265091863517061,0.9264709768416136
Rice,"[24, 12]",0.1,0.9280839895013123,0.9280368696662723
Rice,"[16, 8, 4]",0.01,0.9257217847769029,0.9257122627940519
Rice,"[16, 8, 4]",0.1,0.9265091863517061,0.9264685993375492
Rice,"[32, 16, 8]",0.01,0.927034120734908,0.9269993285808125
Rice,"[32, 16, 8]",0.1,0.926771653543307,0.9267265946028835
Digits,[8],0.01,0.9371104903786469,0.9369983147800737
Digits,[8],0.1,0.9504686530105524,0.9504236814233658
Digits,[16],0.01,0.9627126008690254,0.9626905810553211
Digits,[16],0.1,0.9671601489757913,0.9671310358915732
Digits,"[16, 8]",0.01,0.9465890751086281,0.9464487927979908
Digits,"[16, 8]",0.1,0.956030415890751,0.9560426851237255
Digits,"[24, 12]",0.01,0.9593792675356921,0.9593970271100367
Digits,"[24, 12]",0.1,0.9643823711980136,0.9642998184872626
Digits,"[16, 8, 4]",0.01,0.8831688392302917,0.8768389460299482
Digits,"[16, 8, 4]",0.1,0.9086964618249533,0.8977882504445344
Digits,"[32, 16, 8]",0.01,0.9504655493482309,0.9502288206565611
Digits,"[32, 16, 8]",0.1,0.9627094972067038,0.9627597655470952
