dataset,model,accuracy,weighted_f1
Credit,nn_arch1,0.8574358974358974,0.8573784546796113
Credit,nn_arch2,0.8544988344988346,0.8544403746108384
Credit,rf_credit_1,0.8575757575757577,0.8565401596990659
Credit,rf_credit_2,0.8605827505827508,0.8574654591283662
Credit,knn,0.8651282051282052,0.8647639271273464
Credit,majority_vote_ensemble,0.8636363636363636,0.8634264332370469
Parkinsons,nn_arch1,0.9184210526315789,0.9176940783263599
Parkinsons,nn_arch2,0.9076315789473683,0.9063498057342094
Parkinsons,rf_parkinsons_1,0.9015789473684211,0.9013063910830434
Parkinsons,rf_parkinsons_2,0.8813157894736842,0.8733647500412471
Parkinsons,knn,0.9336842105263159,0.9330145140264572
Parkinsons,majority_vote_ensemble,0.9276315789473685,0.9266856730989395
Rice,nn_arch1,0.9299212598425198,0.9298677044060067
Rice,nn_arch2,0.9257217847769029,0.9256361602000999
Rice,rf_rice_1,0.920997375328084,0.9209495826426612
Rice,rf_rice_2,0.9257217847769029,0.9256949998659028
Rice,knn,0.920997375328084,0.920929401038393
Rice,majority_vote_ensemble,0.926246719160105,0.9262018018627588
Digits,nn_arch1,0.9654934823091248,0.9655054531462565
Digits,nn_arch2,0.9632681564245809,0.9632383041965952
Digits,rf_digits_1,0.9649441340782122,0.9648200271814694
Digits,rf_digits_2,0.9527063935443824,0.9525218346702136
Digits,knn,0.9799565487274984,0.9798807108441668
Digits,majority_vote_ensemble,0.9777436374922408,0.9776884045432224
